Initial number of nuclei A : 100
Initial number of nuclei B : 0
Time constant : 1.00 s
Time step : 0.01 s
Total time : 10.00 s
Time		Number of nuclei A		Number of nuclei B
8.43		    50.000002			    49.999998
8.44		    50.000002			    49.999998
8.45		    50.000002			    49.999998
8.46		    50.000002			    49.999998
8.47		    50.000002			    49.999998
8.48		    50.000002			    49.999998
8.49		    50.000002			    49.999998
8.50		    50.000002			    49.999998
8.51		    50.000002			    49.999998
8.52		    50.000002			    49.999998
8.53		    50.000002			    49.999998
8.54		    50.000002			    49.999998
8.55		    50.000002			    49.999998
8.56		    50.000002			    49.999998
8.57		    50.000002			    49.999998
8.58		    50.000001			    49.999999
8.59		    50.000001			    49.999999
8.60		    50.000001			    49.999999
8.61		    50.000001			    49.999999
8.62		    50.000001			    49.999999
8.63		    50.000001			    49.999999
8.64		    50.000001			    49.999999
8.65		    50.000001			    49.999999
8.66		    50.000001			    49.999999
8.67		    50.000001			    49.999999
8.68		    50.000001			    49.999999
8.69		    50.000001			    49.999999
8.70		    50.000001			    49.999999
8.71		    50.000001			    49.999999
8.72		    50.000001			    49.999999
8.73		    50.000001			    49.999999
8.74		    50.000001			    49.999999
8.75		    50.000001			    49.999999
8.76		    50.000001			    49.999999
8.77		    50.000001			    49.999999
8.78		    50.000001			    49.999999
8.79		    50.000001			    49.999999
8.80		    50.000001			    49.999999
8.81		    50.000001			    49.999999
8.82		    50.000001			    49.999999
8.83		    50.000001			    49.999999
8.84		    50.000001			    49.999999
8.85		    50.000001			    49.999999
8.86		    50.000001			    49.999999
8.87		    50.000001			    49.999999
8.88		    50.000001			    49.999999
8.89		    50.000001			    49.999999
8.90		    50.000001			    49.999999
8.91		    50.000001			    49.999999
8.92		    50.000001			    49.999999
8.93		    50.000001			    49.999999
8.94		    50.000001			    49.999999
8.95		    50.000001			    49.999999
8.96		    50.000001			    49.999999
8.97		    50.000001			    49.999999
8.98		    50.000001			    49.999999
8.99		    50.000001			    49.999999
9.00		    50.000001			    49.999999
9.01		    50.000001			    49.999999
9.02		    50.000001			    49.999999
9.03		    50.000001			    49.999999
9.04		    50.000001			    49.999999
9.05		    50.000001			    49.999999
9.06		    50.000001			    49.999999
9.07		    50.000001			    49.999999
9.08		    50.000001			    49.999999
9.09		    50.000001			    49.999999
9.10		    50.000001			    49.999999
9.11		    50.000001			    49.999999
9.12		    50.000000			    50.000000
9.13		    50.000000			    50.000000
9.14		    50.000000			    50.000000
9.15		    50.000000			    50.000000
9.16		    50.000000			    50.000000
9.17		    50.000000			    50.000000
9.18		    50.000000			    50.000000
9.19		    50.000000			    50.000000
9.20		    50.000000			    50.000000
9.21		    50.000000			    50.000000
9.22		    50.000000			    50.000000
9.23		    50.000000			    50.000000
9.24		    50.000000			    50.000000
9.25		    50.000000			    50.000000
9.26		    50.000000			    50.000000
9.27		    50.000000			    50.000000
9.28		    50.000000			    50.000000
9.29		    50.000000			    50.000000
9.30		    50.000000			    50.000000
9.31		    50.000000			    50.000000
9.32		    50.000000			    50.000000
9.33		    50.000000			    50.000000
9.34		    50.000000			    50.000000
9.35		    50.000000			    50.000000
9.36		    50.000000			    50.000000
9.37		    50.000000			    50.000000
9.38		    50.000000			    50.000000
9.39		    50.000000			    50.000000
9.40		    50.000000			    50.000000
9.41		    50.000000			    50.000000
9.42		    50.000000			    50.000000
9.43		    50.000000			    50.000000
9.44		    50.000000			    50.000000
9.45		    50.000000			    50.000000
9.46		    50.000000			    50.000000
9.47		    50.000000			    50.000000
9.48		    50.000000			    50.000000
9.49		    50.000000			    50.000000
9.50		    50.000000			    50.000000
9.51		    50.000000			    50.000000
9.52		    50.000000			    50.000000
9.53		    50.000000			    50.000000
9.54		    50.000000			    50.000000
9.55		    50.000000			    50.000000
9.56		    50.000000			    50.000000
9.57		    50.000000			    50.000000
9.58		    50.000000			    50.000000
9.59		    50.000000			    50.000000
9.60		    50.000000			    50.000000
9.61		    50.000000			    50.000000
9.62		    50.000000			    50.000000
9.63		    50.000000			    50.000000
9.64		    50.000000			    50.000000
9.65		    50.000000			    50.000000
9.66		    50.000000			    50.000000
9.67		    50.000000			    50.000000
9.68		    50.000000			    50.000000
9.69		    50.000000			    50.000000
9.70		    50.000000			    50.000000
9.71		    50.000000			    50.000000
9.72		    50.000000			    50.000000
9.73		    50.000000			    50.000000
9.74		    50.000000			    50.000000
9.75		    50.000000			    50.000000
9.76		    50.000000			    50.000000
9.77		    50.000000			    50.000000
9.78		    50.000000			    50.000000
9.79		    50.000000			    50.000000
9.80		    50.000000			    50.000000
9.81		    50.000000			    50.000000
9.82		    50.000000			    50.000000
9.83		    50.000000			    50.000000
9.84		    50.000000			    50.000000
9.85		    50.000000			    50.000000
9.86		    50.000000			    50.000000
9.87		    50.000000			    50.000000
9.88		    50.000000			    50.000000
9.89		    50.000000			    50.000000
9.90		    50.000000			    50.000000
9.91		    50.000000			    50.000000
9.92		    50.000000			    50.000000
9.93		    50.000000			    50.000000
9.94		    50.000000			    50.000000
9.95		    50.000000			    50.000000
9.96		    50.000000			    50.000000
9.97		    50.000000			    50.000000
9.98		    50.000000			    50.000000
9.99		    50.000000			    50.000000
10.00		    50.000000			    50.000000
