Initial number of nuclei A : 100
Initial number of nuclei B : 0
Time constant : 1.00 s
Time step : 0.01 s
Total time : 10.00 s
Time		Number of nuclei A		Number of nuclei B
1.94		    50.992724			    49.007276
1.95		    50.972870			    49.027130
1.96		    50.953412			    49.046588
1.97		    50.934344			    49.065656
1.98		    50.915657			    49.084343
1.99		    50.897344			    49.102656
2.00		    50.879397			    49.120603
2.01		    50.861809			    49.138191
2.02		    50.844573			    49.155427
2.03		    50.827682			    49.172318
2.04		    50.811128			    49.188872
2.05		    50.794906			    49.205094
2.06		    50.779007			    49.220993
2.07		    50.763427			    49.236573
2.08		    50.748159			    49.251841
2.09		    50.733196			    49.266804
2.10		    50.718532			    49.281468
2.11		    50.704161			    49.295839
2.12		    50.690078			    49.309922
2.13		    50.676276			    49.323724
2.14		    50.662751			    49.337249
2.15		    50.649496			    49.350504
2.16		    50.636506			    49.363494
2.17		    50.623776			    49.376224
2.18		    50.611300			    49.388700
2.19		    50.599074			    49.400926
2.20		    50.587093			    49.412907
2.21		    50.575351			    49.424649
2.22		    50.563844			    49.436156
2.23		    50.552567			    49.447433
2.24		    50.541516			    49.458484
2.25		    50.530685			    49.469315
2.26		    50.520072			    49.479928
2.27		    50.509670			    49.490330
2.28		    50.499477			    49.500523
2.29		    50.489487			    49.510513
2.30		    50.479697			    49.520303
2.31		    50.470104			    49.529896
2.32		    50.460701			    49.539299
2.33		    50.451487			    49.548513
2.34		    50.442458			    49.557542
2.35		    50.433609			    49.566391
2.36		    50.424936			    49.575064
2.37		    50.416438			    49.583562
2.38		    50.408109			    49.591891
2.39		    50.399947			    49.600053
2.40		    50.391948			    49.608052
2.41		    50.384109			    49.615891
2.42		    50.376427			    49.623573
2.43		    50.368898			    49.631102
2.44		    50.361520			    49.638480
2.45		    50.354290			    49.645710
2.46		    50.347204			    49.652796
2.47		    50.340260			    49.659740
2.48		    50.333455			    49.666545
2.49		    50.326786			    49.673214
2.50		    50.320250			    49.679750
2.51		    50.313845			    49.686155
2.52		    50.307568			    49.692432
2.53		    50.301417			    49.698583
2.54		    50.295388			    49.704612
2.55		    50.289480			    49.710520
2.56		    50.283691			    49.716309
2.57		    50.278017			    49.721983
2.58		    50.272457			    49.727543
2.59		    50.267008			    49.732992
2.60		    50.261667			    49.738333
2.61		    50.256434			    49.743566
2.62		    50.251305			    49.748695
2.63		    50.246279			    49.753721
2.64		    50.241354			    49.758646
2.65		    50.236527			    49.763473
2.66		    50.231796			    49.768204
2.67		    50.227160			    49.772840
2.68		    50.222617			    49.777383
2.69		    50.218165			    49.781835
2.70		    50.213801			    49.786199
2.71		    50.209525			    49.790475
2.72		    50.205335			    49.794665
